,News,Label
969,India's Bharat Biotech resumes exports of homegrown COVID-19 shot,0
678,"India's power demand growth slows in November, helping ease coal shortage",0
298,"BRIEF-Tiger global management cuts share stake in Alphabet, Fiat Chrysler",1
1623,Google suing India antitrust watchdog for investigation report leak,1
1325,India's antitrust body orders Google inquiry after news publishers complain,1
2261,"UPDATE 1-Google to start reopening offices, targets 30% capacity in Sept",1
365,Pressure grows in India to condemn old friend Russia's invasion of Ukraine,0
1545,Google reaches out-of-court deal with Russia over Android case,1
2099,Facebook is a one-trick pony that can still kick,1
2232,"LinkedIn to allow most employees to work remotely, reversing course",1
2152,UPDATE 1-Australian regulator rejects Google's undertaking over Fitbit competition concerns,1
1669,"S.Korea seeks improved compliance plans from Apple, Google on app store law",1
566,EXCLUSIVE-Google seeking to settle EU antitrust probe into adtech - source,1
1074,Foreign carmakers interested in Ford plant in India - state minister,0
248,TIMELINE-Air India returns to Tatas' hangar as group wins bid,0
1417,Google meets renewable energy goal for global operations,1
1129,"Google, Meta dominate as digital propels global advertising growth -forecasts",1
1089,India says reviewing procedures after accidental firing of missile into Pakistan,0
177,India Insight: Silicon Valley-style success bites,0
588,"RPT-In choosing Alphabet Inc, Google joins a branded crowd",1
54,Alphabet's Waymo to stop selling lidar self-driving car sensors -sources,1
302,U.S. senators urge Biden to avoid India sanctions over Russian deal,0
868,"US STOCKS SNAPSHOT-S&P 500 moves closer to record high; Amazon, Alphabet help",1
1009,"India's new COVID-19 cases double in four days to 58,097",0
1689,"UPDATE 2-Airbnb, Booking join Western corporate shutdowns in Russia",1
1592,"Google curtails free photo storage, pushes users to buy more space",1
1632,Google earmarks $740 million for Australia to mend ties after exit threat,1
270,UPDATE 1-Google to make driverless cars an Alphabet company in 2016-Bbg,1
248,Alphabet stock slips after results but brokerages stay bullish,1
1929,UPDATE 2-Google appeals France's 'disproportionate' $591 million fine in copyright row,1
308,Qatar Energy says it is committed to being trusted energy supplier for India,0
1088,FACTBOX-India's Modi has mixed record of economic management,0
848,Bollywood stars return to India's big screens after more than a year,0
834,"BRIEF-Moody's says Alphabet's loss of ""notable advertisers"" on YouTube platform credit negative, but does not impact AA2 rating",1
1396,Google fails to disclose microphone in Nest Secure,1
531,Google morphs into Alphabet; investors cheer clarity,1
694,India's parliament passes bill to repeal controversial farm laws,0
481,Foreign direct investment into India to stay robust - Deloitte survey,0
190,Alphabet's Loon launches balloon internet service in Kenya,1
1573,Google offers new features to local search ads,1
122,India's monsoon rains forecast to be above average in September,0
931,EXCLUSIVE-Google to improve enforcement of adult ads policy,1
1892,"Media firm NZME may opt to bargain content deal with Google, Facebook",1
354,Alphabet names former Time Warner Cable executive to lead internet unit,1
167,U.S. jury sides with Alphabet's Google in Android trial,1
1004,India refiners' November crude processing at near 2-year high,0
823,BRIEF-Vanguard Group reports 6.49 pct passive stake in Alphabet Inc as of Dec. 31,1
1761,"Qualcomm inks car chip deals with Volvo, Honda and Renault",1
82,Alphabet Waymo self-driving unit CFO following CEO out the door,1
153,Alphabet's Google to buy Fitbit for $2.1 bln,1
1361,UPDATE 1-Google delays office return until January as COVID-19 worries linger,1
1732,U.S. Treasury's Yellen seeking October agreement on global minimum corporate tax,1
1854,"UPDATE 1-U.S. recommends approving Google, Meta undersea data cable to Asia",1
174,Alphabet's Waymo expands app to iPhone devices in Phoenix,1
2062,Google announces company holiday on May 22 to stem virus burnout,1
1668,"UPDATE 1-EU's Vestager says tech giants may prefer fines to compliance, cites Apple",1
2224,Google CEO to meet with EU antitrust chief on Friday,1
1122,Google to slash amount it keeps from sales on its cloud marketplace- CNBC,1
277,Alphabet's Google explores sale of restaurant reviewer Zagat -sources,1
854,Google to fight EU antitrust fine at court hearing from Sept. 27 - sources,1
111,Alphabet to give first peek at cost of 'moonshot' bets,1
765,Russia says India approves one-shot Sputnik Light COVID vaccine,0
1092,"EXCLUSIVE-Google drops RT, other Russian state media from its news features",1
281,"INSIGHT-With Alphabet, Google faces a daunting challenge: organizing itself",1
744,India administers lowest number of COVID-19 tests in a month,0
994,Google to resume accepting political ads in U.S.,1
1898,Two U.S. Big Tech antitrust bills backed by publisher trade group,1
664,"US STOCKS-Futures rise on Alphabet, Boeing earnings ahead of GDP data",1
973,UPDATE 1-Baffled? You're not alone - COP26 spawns confusing array of acronyms,1
1440,"Salesforce, Google form cloud partnership",1
1211,Google opens Dublin hub to tackle harmful online content,1
1489,Google to buy software developer Apigee in $625 mln deal,1
685,India cuts import taxes on vegetable oils to calm prices,0
1829,"Telenor partners with Amazon to modernise systems, offer services",1
141,Alphabet's legal head David Drummond to retire this month,1
1250,UPDATE 1-Waymo and China's Zeekr partner to develop driverless taxis,1
780,"Google's browser cookies plan anti-competitive, advertisers tell EU",1
274,India's top general laid to rest with full military honours,0
1450,"Google unveils Google Home, looks to compete with Amazon's Echo",1
474,"US STOCKS SNAPSHOT-Wall St opens higher ahead of Amazon, Alphabet earnings; stimulus in focus",1
1883,U.S. Justice Dept antitrust nominee Kanter has confirmation hearing next week,1
968,UPDATE 1-Baffled? You're not alone - COP26 spawns confusing array of acronyms,1
73,"India reports 37,593 new coronavirus cases",0
939,India's Dec WPI inflation at 13.56% as firms fight rising costs,0
29,"Google parent Alphabet reaches record quarterly revenue, profit in ad boom",1
1315,"UPDATE 1-Italy's antitrust regulator fines Google, Apple over data use",1
776,UK watchdog accepts Google's revised pledges on browser cookies,1
1049,Google pauses all ad sales in Russia,1
150,Alphabet overtakes Apple in market value - for now,1
108,Alphabet's unit discloses Snapchat investment,1
1547,Google to pull plug on AI ethics council - Vox,1
182,Alphabet shareholders reject diversity proposal backed by employees,1
3,Russian court fines Alphabet's Google and Meta Platforms,1
1180,Waze's ex-CEO says app could have 'grown faster' without Google,1
757,"India's palm campaign has hard row to hoe with water, seedlings scarce",0
1434,"US STOCKS-Wall St drops as caution rises before big tech earnings, Fed",1
695,"UPDATE 1-Facebook, Twitter, Alphabet to testify at U.S. House hearing",1
865,UPDATE 1-Google's advertising tech targeted in European publishers' complaint,1
143,India's energy demand grows at slower pace in September,0
1303,"UPDATE 1-YouTube, Google Play suspend payment-based services in Russia",1
1157,"Google phone cameras will read heart, breathing rates with AI help",1
2183,"UPDATE 3-Before lawsuit, Uber fell out with 'big brother' Google, Kalanick testifies",1
925,"Analysis: For Google, plenty of cash with nowhere to go",1
842,Google says in cloud partnership with India's Jio in boost to 5G plans,1
1553,Google announces $1 bln additional investment in housing across Bay Area,1
244,"India will not surprise market on borrowing, says govt official",0
2018,Russian TV channel to seek Google fines abroad after U.S. giant loses appeal,1
919,CORRECTED-UPDATE 4-Alphabet to shut Google+ social site after user data exposed,1
2111,YouTube disables comments on videos featuring minors,1
1007,New COVID-19 cases in India rise sharply for fifth consecutive day,0
2122,U.S. judge grants partial injunction against Uber in Waymo car case,1
1375,Samsung unveils new smartwatch interface,1
1934,"Factbox-Countries rush to buy Merck, Pfizer's experimental COVID-19 pills",1
25,India reports outbreak of H5N1 bird flu - OIE,0
1999,Nobel laureate Doudna's biotech Mammoth hits over $1 bln in valuation,1
1432,Telecom Italia and Cisco seal cloud business services partnership,1
631,UPDATE 1-India indicates readiness to release more oil reserves,0
271,"Amazon is now second most valuable U.S.-listed company, tops Alphabet",1
871,"India reports first Omicron cases, no plan to authorise boosters",0
500,Google temporarily disables Google Maps live traffic data in Ukraine,1
1848,"Southeast Asia internet economy to hit $1 trln by 2030, report says",1
461,"BRIEF-Omega Advisors ups share stake in Alphabet, Facebook, Zynga, Time Inc",1
1193,UPDATE 1-Accenture restores affected systems after reported ransomware attack,1
219,"India's new COVID-19 cases rise by 45,083",0
263,WTO panel asks India to withdraw subsidies in sugar dispute,0
582,Alphabet unit nears deal for Toronto waterfront development -WSJ,1
2015,IBM spinoff Kyndryl signs 'beachhead' networking deal with Nokia,1
1070,India's economy likely picked up in Sept quarter before Omicron spread,0
475,COLUMN-India looks to Russia to solve the energy crisis Moscow created: Russell,0
700,S&P reaches highest level since February as Alphabet shares soar,1
2203,Top AI ethics researcher says Google fired her; company denies it,1
2244,Spam campaign targets Google users with malicious link,1
1183,Microsoft swipes Apple’s crown,1
1452,"US STOCKS-Wall St mostly edges up as investors eye tech earnings, Fed meeting",1
831,BRIEF-Alphabet's Nest Labs entire platform team to become part of Google - Fortune,1
1913,"Google, adtech firms hit with fresh EU privacy complaints",1
1968,Trump loses bid to keep lawsuit against Twitter in Florida,1
572,EXCLUSIVE-Google seeking to settle EU antitrust probe into adtech - source,1
580,Google in talks to buy cybersecurity firm Mandiant - The Information,1
307,Global crypto exchange CrossTower enters India despite policy uncertainty,0
20,UPDATE 1-Alphabet's unprofitable Verily unit in skin-care deal with L'Oreal,1
1145,Qualcomm says it will supply chip for new Renault electric vehicle,1
76,India says climate commitments ambitious yet achievable,0
691,"Britain and India must deepen defence, economic ties - UK's Truss",0
353,Alphabet adds patent claim to Uber intellectual property theft lawsuit,1
1759,Australia challenges Facebook to back anti-troll defamation law,1
69,"India's new COVID-19 cases surge to 179,723",0
756,"Google defends Android phone maker deals, denies carrot and stick tactics",1
1138,Facebook name-change alone would miss the point,1
861,Japan's Osaka Gas enters India's urban gas distribution market,0
1101,India in talks to buy 50 million doses of Pfizer vaccine -WSJ,0
110,High prices could slow India's transition to gas,0
276,"India's daily COVID-19 cases rise by 41,383",0
564,INSTANT VIEW 5-DOJ files antitrust lawsuit against Alphabet's Google,1
1813,"Brazilian Senate to hear Google, Facebook, Twitter in pandemic probe",1
1110,India to target children for COVID-19 vaccine from October - sources,0
978,India announces measures to shore up telecoms sector; respite for Vodafone Idea,0
792,German antitrust watchdog launches proceedings against Google,1
194,"Kuwait to resume commercial flights with India, Egypt",0
604,Alphabet and Amazon wind up stellar quarter for big tech,1
824,India will ensure steady coking coal cargoes to allay supply concerns,0
198,Sanofi and Alphabet set up JV in diabetes,1
465,UPDATE 2-Alphabet's Sidewalk Labs secures conditional nod for Toronto smart city,1
1747,UPDATE 1-U.S. Treasury's Yellen seeking October agreement on global minimum corporate tax,1
1050,Fitbit completes merger with Google,1
610,BRIEF-Alphabet says Canadian Competition Bureau closed antitrust probe,1
1015,India says no report of its students being held hostage in Ukraine,0
148,UK aims to start trade talks with India this year,0
692,"BRIEF-Third Point ups stake in Alphabet & Facebook, cuts in Charter",1
915,Google reports soaring attrition among Black women,1
1214,"UPDATE 5-Google closes Fitbit deal as U.S., Australia probes continue",1
30,"GRAPHIC-Alphabet latest megacap to split its stock, may trigger retail buying",1
1757,"Russian bans for tech giants is last resort, Interfax reports",1
1925,"Google announces new subsea cable ""Equiano"", connecting Africa and Europe",1
186,Alphabet options busy as traders hedge ahead of results,1
