,News,Label
1637,"Apple, Intertrust settle year-old patent suit",1
946,"EMERGING MARKETS-Shares set for biggest weekly drop in six; Apple, Amazon suppliers slip",1
100,"Epic Games asks Apple to allow ""Fortnite"" to return in South Korea",1
26,Apple closes in on $3 trillion market value,1
555,India's parliament passes bill to repeal controversial farm laws,0
804,Law firms bid to work on India's LIC IPO as government sweetens terms,0
675,"India, Israel to start talks on free trade agreement next month",0
436,India's Feb trade deficit widens to $20.88 billion - trade ministry,0
934,India's June fuel demand recovers as lockdowns ease,0
1059,Capital Calls: Australia takes fight to Apple and Google,1
251,France says to work with India to promote multilateral order,0
71,Coal India plans to increase prices 'slowly',0
628,EU hits Apple with music streaming charge in boost for Spotify,1
590,Apple plans to expand ads business - FT,1
253,EXPLAINER-Apple gives 'reader' apps a way around commissions. Who wins?,1
1009,India reports most COVID-19 cases since early September,0
1520,Google withdraws patent complaint against Apple,1
1501,Apple says Pegatron put on probation after violating supplier code of conduct,1
1717,Jury reaches verdict in Apple-Samsung patents trial,1
1067,Hong Kong's Apple Daily board may decide to stop publication this week -internal memo,1
1174,Apple loses copyright claims in lawsuit against U.S. security bug startup,1
1633,Apple planning 12.9-inch iPad for 2015 -Bloomberg,1
185,Ford India head quits after company says to stop making cars in India,0
1498,"UPDATE 3-Apple supplier Foxconn's profit slips, warns on 'materials shortages'",1
187,EXCLUSIVE-Apple hit with antitrust case in India over in-app payments issues,1
60,Epic Games opposes Apple's effort to pause antitrust trial orders,1
1746,Judge rejects Apple bid for injunction against Samsung,1
883,"India cuts soyoil, sunflower oil import tax to calm prices",0
695,UPDATE 3-Epic Games CEO cites Apple's 'total control' over iPhones at first day of antitrust trial,1
892,India approves Zydus Cadila's COVID-19 vaccine for emergency use,0
19,Microsoft nearly overtakes Apple as most valuable company,1
909,"Apple Daily editor, CEO denied bail in Hong Kong",1
1260,"UPDATE 2-Apple to launch Apple Pay in China, take on Alibaba, Tencent",1
1022,"India grows fastest among major economies, Omicron risks seen",0
376,Cryptocurrency exchange Coinstore enters India despite pending curbs on trade,0
825,India to start vaccinating 12- to 14-year-olds against COVID-19,0
1533,Amazon Prime Video now available on Apple TV,1
194,India Insight: Narendra Modi’s sale of the century,0
1910,Swatch Group denies working with Apple on smartwatch,1
963,Games-India withdraw hockey teams from Commonwealth Games in Birmingham,0
1698,Labor protest at Apple iPhone party in Paris,1
766,"India reports 48,786 new COVID-19 cases",0
831,From e-bikes to flying cars: India's Ola plots mobility future,0
452,India expects to open LIC IPO issue by mid-March: sources,0
650,"Facebook to bring changes in advertising, privacy following Apple's upcoming iOS update",1
818,"India, Australia eye closer security ties as 9/11 anniversary marked",0
1839,Apple shares to be fueled by new iPhone - Barron's,1
74,Apple objects to links to outside payments ahead of Epic Games hearing,1
436,"BRIEF-Apple Executive Defends Tools To Fight Child Porn, Acknowledges Privacy Backlash - WSJ",1
865,Apple supplier OFilm tells investors it lost 'particular overseas client',1
593,Apple goes to battle with Spotify in premium podcast push,1
128,India says it will investigate Pandora Papers cases,0
1021,Surge in onion prices adds another layer of pain for India’s consumers,0
