,News,Label
501,India hopes to replace diesel with green energy in its farms by 2024,0
1962,Germany to cooperate with U.S. on IT standards to reboot industry,1
0,Cisco beats estimates for quarterly revenue,1
50,"India's daily COVID-19 cases rise by 194,720",0
606,India extends lower tax rate on COVID-19 drugs to year end,0
592,Coal India starts project to replace diesel with LNG in dumpers,0
1559,Avaya wins 5-year contract with Bharti Airtel,1
152,Cisco warns of revenue slide as hardware spending sputters,1
815,India asks Indonesia to raise palm oil supply as prices spike - sources,0
680,"India's COVID-19 cases multiply, vulnerable groups given vaccine boosters",0
284,Latin American oil gains ground in India at Mideast expense - data,0
398,India allows power plants to blend imported coal with local grade,0
953,India's crude imports rebound in August on strong demand outlook,0
1741,"Microsoft says security patches slowing down PCs, servers",1
1247,Ericsson job cuts hit Sweden hard as network challenge persists,1
508,India's top refiner plans thousands of electric car charging stations,0
469,Ericsson CEO scraps 2018 revenue ambition from Cisco partnership,1
447,"India's expert panel advises full approval for Covishield, Covaxin",0
594,Cricket-Former India spinner Harbhajan calls time on career,0
1183,UPDATE 1-Youku names new CFO,1
667,"India approves $3.5 billion incentive scheme for auto sector, drones",0
1428,Exclusive: Motorola looking to exit wireless LAN business - sources,1
1076,"REUTERS IMPACT-India targets alternate fuels, EVs in clean transport push",0
981,"REUTERS IMPACT-India targets alternate fuels, EVs in clean transport push",0
1845,"US STOCKS-Wall St rises after Ukraine deal, Swedish stimulus",1
1982,UPDATE 1-Blackberry contract loss weighs on Celestica sales,1
637,Fusion-io shares rise on Cisco contract,1
904,India's Future Retail suspends supermarket operations as Reliance plans takeover,0
882,Hellman & Friedman takes 7.5% stake in software maker Splunk,1
286,UPDATE 2-Cisco wins U.S. patent dispute over wifi technology,1
543,UPDATE 2-Cisco's forecast tops Wall St estimates; shares rise,1
1873,US STOCKS-Wall St slips as surging virus cases dent recovery hopes,1
1194,"Acquisitions, new orders boost Spirent first-half revenue",1
136,How India flipped its vaccine fortunes,0
1575,UPDATE 2-Market Chatter - Corporate finance press digest,1
309,Russia hopes to supply India with more S-400 missile systems -Ifx,0
140,"India's daily COVID-19 cases rise by 22,775",0
602,"UPDATE 3-Cisco's strong U.S. sales, popular Nexus product raise revenue",1
1795,US STOCKS-Wall St set to tumble at open as investors flee risk,1
1773,US STOCKS-Bank stocks push Wall St higher amid lingering economic worries,1
849,'Like the Stasi': Cyber volunteers in India silence critical voices,0
941,CORRECTED-UPDATE 2-Andreessen Horowitz-backed Samsara reveals jump in revenue ahead of IPO,1
843,"US STOCKS SNAPSHOT-Dow, S&P 500 end higher; Cisco weighs on tech",1
47,"India's daily COVID-19 cases rise by 194,720",0
