,News,is_apple,is_amazon,is_microsoft,is_facebook,is_tesla,is_nvidia,is_cisco,is_alphabet,is_google,is_broadcom
3320,Google chief Pichai takes helm of parent Alphabet as co-founders step aside,0,0,0,0,0,0,0,1,0,0
49,Apple supplier OFilm tells investors it lost 'particular overseas client',1,0,0,0,0,0,0,0,0,0
271,U.S. launches investigation into Tesla Model S fires,0,0,0,0,1,0,0,0,0,0
1615,EXCLUSIVE-France sues Apple over developer contracts tied to App Store,1,0,0,0,0,0,0,0,0,0
2498,Beyond cars: Hyundai says 'metamobility' will link real and virtual worlds in the future,0,0,0,1,0,0,0,0,0,0
87,US STOCKS-Futures little changed after four-day run,0,0,0,0,0,0,1,0,0,0
1467,"Tesla says new factories will need time to ramp up, posts record revenue",0,0,0,0,1,0,0,0,0,0
2805,Google buys cybersecurity startup VirusTotal,0,0,0,0,0,0,0,0,1,0
1186,Facebook tests paid subgroups in subscription push,0,0,0,1,0,0,0,0,0,0
1833,Sonos wins Google import ban ruling in U.S. patent fight,0,0,0,0,0,0,0,0,1,0
1463,German court delays Apple's slide-to-unlock lawsuit,1,0,0,0,0,0,0,0,0,0
1800,"UPDATE 5-GameStop taps Amazon Australia chief as CEO, may sell shares",0,1,0,0,0,0,0,0,0,0
1398,BRIEF-U.S. NHTSA Asked Tesla To Provide Additional Information For Its Defect Investigation Of Autopilot And Incidents Where First Responders Were Present,0,0,0,0,1,0,0,0,0,0
1964,Apple users may spend more on non-gaming mobile apps by 2024 - report,1,0,0,0,0,0,0,0,0,0
2465,"GLOBAL MARKETS-Global stocks rise on strong earnings, tech sector strength",0,0,0,1,0,0,0,0,0,0
2429,UPDATE 1-Amazon starts offering healthcare service to other employers,0,1,0,0,0,0,0,0,0,0
1175,"Microsoft, Elon Musk's SpaceX tie up to woo space customers",0,0,1,0,0,0,0,0,0,0
1227,BRIEF-Qualcomm Board Of Directors Unanimously Rejects Revised Broadcom Proposal,0,0,0,0,0,0,0,0,0,1
2614,"UPDATE 1-New York accuses Amazon of backsliding over worker safety, seeks monitor",0,1,0,0,0,0,0,0,0,0
2841,U.S. Supreme Court wrestles with Microsoft data privacy fight,0,0,1,0,0,0,0,0,0,0
961,UPDATE 1-Google to charge smartphone makers for Google Play in Europe,0,0,0,0,0,0,0,0,1,0
119,U.S. probing fatal Tesla crash that killed pedestrian,0,0,0,0,1,0,0,0,0,0
1042,Apple and Google app stores may need regulation if changes are not made - Australian regulator,1,0,0,0,0,0,0,0,0,0
930,Apple rejects e-book pricing collusion charge,1,0,0,0,0,0,0,0,0,0
2088,Apple to build battery-based solar energy storage project in California,1,0,0,0,0,0,0,0,0,0
1576,"Qualcomm's 2019 profit, revenue forecasts top estimates",0,0,0,0,0,0,0,0,0,1
784,Google offers incognito mode for Maps in privacy push,0,0,0,0,0,0,0,1,0,0
1733,US STOCKS-S&P gains as investors juggle pandemic fears with recovery prospects,0,0,0,0,0,0,1,0,0,0
2139,"Who is Andy Jassy, the next CEO of Amazon?",0,1,0,0,0,0,0,0,0,0
2382,"Alphabet shutting Loon, which used balloon alternative to cell towers",0,0,0,0,0,0,0,1,0,0
670,Chipmaker Nvidia's quarterly revenue jumps 48.4 pct,0,0,0,0,0,1,0,0,0,0
2974,Cisco CEO says quarter of staff in Ukraine have left,0,0,0,0,0,0,1,0,0,0
875,"Google, Facebook, Microsoft top EU lobbying spending - study",0,0,1,0,0,0,0,0,0,0
376,Factbox: Top takeaways from Apple's Developers Conference,1,0,0,0,0,0,0,0,0,0
227,Volkswagen not interested in buying Tesla stake,0,0,0,0,1,0,0,0,0,0
26,Factbox-Tesla market cap eclipses that of top 5 rival carmakers combined,0,0,0,0,1,0,0,0,0,0
872,Apple delays production of larger iPad - WSJ,1,0,0,0,0,0,0,0,0,0
1653,Videoconferencing app maker Fuzebox raises $20 mln,0,0,0,0,0,0,1,0,0,0
616,"Amazon hikes average U.S. starting pay to $18, hires for 125,000 jobs",0,1,0,0,0,0,0,0,0,0
246,Alphabet and Amazon wind up stellar quarter for big tech,0,0,0,0,0,0,0,1,0,0
1590,"S.Korea seeks improved compliance plans from Apple, Google on app store law",0,0,0,0,0,0,0,0,1,0
555,"UPDATE 7-Amazon hikes Prime membership fees in U.S. as wages, costs rise",0,1,0,0,0,0,0,0,0,0
2632,Union group says U.S. should reject Amazon's plan to buy MGM,0,1,0,0,0,0,0,0,0,0
880,"Tesla to unveil new product Tuesday, shares rise",0,0,0,0,1,0,0,0,0,0
566,Epic Games says Google paid phone and game makers to avoid $1-billion app store hit,0,0,0,0,0,0,0,1,0,0
1622,"Microsoft, Mastercard sign on to VP Harris's Central America strategy",0,0,1,0,0,0,0,0,0,0
1769,REFILE-UPDATE 2-Symantec ends talks to sell to Broadcom over price -sources,0,0,0,0,0,0,0,0,0,1
2615,Major averages close at record highs on dovish Fed hopes,0,0,0,0,0,0,0,0,0,1
1043,Tesla Fremont factory was shut down for two days due to parts shortages - Musk,0,0,0,0,1,0,0,0,0,0
3243,Google self-driving spinoff Waymo begins testing with public in San Francisco,0,0,0,0,0,0,0,1,0,0
1202,Google told its scientists to 'strike a positive tone' in AI research - documents,0,0,0,0,0,0,0,0,1,0
1818,Ericsson to launch subscription service for remote office,0,0,0,0,0,0,1,0,0,0
2786,Tesla's Musk says he sold 'enough stock'; slams California for 'overtaxation',0,0,0,0,1,0,0,0,0,0
1577,Chinese Commerce Ministry reviewing Google/Motorola deal,0,0,0,0,0,0,0,0,1,0
2460,Google to ban political advertising ahead of Philippine election,0,0,0,0,0,0,0,0,1,0
693,Broadcom moving headquarters to U.S. from Singapore -Trump,0,0,0,0,0,0,0,0,0,1
1777,"Russian prosecutors ask court to name Meta as ""extremist organisation"" - Interfax",0,0,0,1,0,0,0,0,0,0
2306,Meta's share price wipe-out shakes world tech stocks,0,0,0,1,0,0,0,0,0,0
2134,US STOCKS-Wall St slips on tech sector weakness,0,0,0,0,0,0,0,0,0,1
557,U.S. FTC preparing for possible challenge to Amazon's $8.5 bln MGM deal - The Information,0,1,0,0,0,0,0,0,0,0
517,Google's cloud close to winning PayPal business - CNBC,0,0,0,0,0,0,0,0,1,0
1785,Google to appeal French fine over data privacy,0,0,0,0,0,0,0,0,1,0
1507,REFILE-Apple's China trademark battle moves to Shanghai,1,0,0,0,0,0,0,0,0,0
1797,"Cisco to lay off about 14,000 employees: tech news site CRN",0,0,0,0,0,0,1,0,0,0
1979,"Verizon, Apple partner to swap out corporate-owned phones for 5G iPhones",1,0,0,0,0,0,0,0,0,0
2362,"EU set to clear Microsoft, Nokia mobile phone deal - sources",0,0,1,0,0,0,0,0,0,0
2197,Broadcom set to unveil challenge to Qualcomm's board -sources,0,0,0,0,0,0,0,0,0,1
2755,US STOCKS-Wall St slips as surging virus cases dent recovery hopes,0,0,0,0,0,0,1,0,0,0
406,"Facebook, Google defend advertising deal investigated by EU, UK watchdogs",0,0,0,1,0,0,0,0,0,0
1197,"Amazon surges, eyes Wall Street record gain in value",0,1,0,0,0,0,0,0,0,0
2551,"US STOCKS-Wall Street shakes off Amazon, Apple weakness to end modestly higher",1,0,0,0,0,0,0,0,0,0
1878,"Google, Apple remove Navalny app from stores as Russian elections begin",0,0,0,0,0,0,0,1,0,0
236,German minister in talks with Tesla over sharing supercharger network,0,0,0,0,1,0,0,0,0,0
1332,Microsoft aims to help businesses get handle on data with new tool,0,0,1,0,0,0,0,0,0,0
1483,"US STOCKS-Microsoft leads Wall St lower, but retailers gain",0,0,0,0,0,0,1,0,0,0
1755,UPDATE 2-Amazon surges with record $190 billion gain in value,0,1,0,0,0,0,0,0,0,0
103,Google says in cloud partnership with India's Jio in boost to 5G plans,0,0,0,0,0,0,0,1,0,0
1886,'Memoji' trademark owner created app solely to sue Apple - 9th Circ,1,0,0,0,0,0,0,0,0,0
605,"US STOCKS-Wall Street at record highs on stimulus, vaccine optimism",0,0,0,0,0,0,1,0,0,0
2010,"France embraces Google, Microsoft in quest to safeguard sensitive data",0,0,0,0,0,0,0,0,1,0
2901,Microsoft and Google financials could surface at Seattle trial,0,0,1,0,0,0,0,0,0,0
2686,"US STOCKS-Wall Street slides on Fed angst, Wal-Mart disappointment",0,0,0,0,0,0,1,0,0,0
2409,Apple starts iPhone 12 assembly in India,1,0,0,0,0,0,0,0,0,0
2456,"Cash, demand concerns overshadow Tesla's SUV launch",0,0,0,0,1,0,0,0,0,0
2728,Acacia files counterclaim against Cisco over $2.84-bln merger deal,0,0,0,0,0,0,1,0,0,0
913,"Three U.S. states, D.C. sue Google over location-tracking",0,0,0,0,0,0,0,0,1,0
618,"Google takes on GoPro, Snap with compact smart camera",0,0,0,0,0,0,0,0,1,0
201,U.S. states prepare second antitrust lawsuit against Google for December,0,0,0,0,0,0,0,0,1,0
365,President Trump halts Broadcom takeover of Qualcomm,0,0,0,0,0,0,0,0,0,1
2479,Cisco announces intent to acquire CloudLock,0,0,0,0,0,0,1,0,0,0
656,Amazon unveils development plans for next phase of Virginia headquarters,0,1,0,0,0,0,0,0,0,0
1078,Microsoft details subscriber growth in cloud,0,0,1,0,0,0,0,0,0,0
128,SEC probes Tesla over whistleblower claims on solar panel defects,0,0,0,0,1,0,0,0,0,0
1625,"US STOCKS-Wall St to extend record on Yellen, Cisco drags Nasdaq",0,0,0,0,0,0,1,0,0,0
7,"Microsoft cutting about 1,000 jobs: CNBC",0,0,1,0,0,0,0,0,0,0
2249,Amazon hit with record EU data privacy fine,0,0,0,0,0,0,0,1,0,0
1660,"Australia to grill Apple, others on pricing",1,0,0,0,0,0,0,0,0,0
1847,U.S. labor board official orders Amazon to redo union vote at Alabama warehouse,0,1,0,0,0,0,0,0,0,0
553,Google to enforce Play store tax on the 3% of apps not paying,0,0,0,0,0,0,0,0,1,0
1499,Microsoft prepares to pay more to keep top executives during CEO search,0,0,1,0,0,0,0,0,0,0
1339,AT&T to sell Xandr ad unit to Microsoft,0,0,1,0,0,0,0,0,0,0
933,UPDATE 4-JPMorgan sues Tesla for $162 mln after Musk tweets soured warrant deal,0,0,0,0,1,0,0,0,0,0
36,Amazon reviewing bids to replace JPMorgan as credit card partner - source,0,1,0,0,0,0,0,0,0,0
2690,Major U.S. tech firms pull out of Barcelona meet over coronavirus fears,0,0,0,0,0,0,1,0,0,0
2108,Tesla ordered to suspend tree clearance at German factory - Tagesspiegel,0,0,0,0,1,0,0,0,0,0
2473,Exclusive: Microsoft has no plans to pursue Salesforce - sources,0,0,1,0,0,0,0,0,0,0
2660,Google parent Alphabet shared YouTube revenue after U.S. SEC request,0,0,0,0,0,0,0,1,0,0
501,"Tesla's Musk seeks to end SEC muzzle on tweets, could face uphill battle",0,0,0,0,1,0,0,0,0,0
