,News,Label
970,RPT-High prices could slow India's transition to gas,0
760,U.S. Senate confirms Google critic Kanter to head Justice Dept Antitrust Division,1
715,"Blinken, in call with India, stresses collective condemnation of Russian invasion",0
7,India's Omicron cases jump to 101,0
1763,BRIEF-Finepart Sweden Gets Order From Google,1
1329,Google unveils big changes to shopping business,1
289,"UPDATE 3-PriceRunner sues Google for 2.1 bln euros, prepares for long fight",1
885,"Google fires second AI ethics leader as dispute over research, diversity grows",1
21,France imposes fines on Facebook Ireland and Google,1
292,"India's daily COVID-19 cases rise by 41,383",0
178,India Insight: Silicon Valley-style success bites,0
316,India allows refined palm oil imports until Dec 2022,0
291,U.S. DOJ readying lawsuit against Google over digital ads business - Bloomberg News,1
770,"India, U.S. to expand farm trade, aim to resolve market access issues",0
922,Demand still strong for India-made AstraZeneca vaccine doses - COVAX's GAVI,0
966,India worried about its exports due to Ukraine crisis - finance minister,0
929,UPDATE 1-Google workers to form global union alliance,1
985,"Analysis-Ukraine crisis could disrupt India's spending plans, economic recovery",0
492,Judge in Texas lawsuit against Google issues protective order,1
1335,"UPDATE 3-Google workers form small union, eyeing more protests over working conditions",1
1467,"Google to grow display, mobile ad businesses in China",1
994,India prepares for future COVID surge as cases inch up,0
1339,Google partners with wireless carriers to push Wallet service,1
349,"Amazon, Google face formal fake review inquiry in Britain",1
411,EXCLUSIVE-Singapore flags concern to India over ban on Sea's game -sources,0
1547,Google's Verily in early stages of developing a coronavirus tool,1
231,India's top carmaker sees hydrogen as 'interesting alternative',0
74,"India reports 36,571 new coronavirus cases",0
234,"India reports 40,134 new coronavirus cases",0
870,Law firms bid to work on India's LIC IPO as government sweetens terms,0
203,"India reports 30,549 new coronavirus cases",0
1370,Factbox: Google under European regulatory spotlight,1
156,Growth in India's services activity picked up in Feb,0
643,"Australia considering new laws for Apple, Google, WeChat digital wallets",1
962,"Australia calls out Google for ""experiment"" blocking some news sites",1
1330,Russia fails to reach settlement with Google in Android case,1
1227,"Russia opens case against Google, saying it failed to delete banned content",1
1386,Google offers incognito mode for Maps in privacy push,1
190,UK aims to start trade talks with India this year,0
1415,Big venture firms eye opportunity in Google Glass,1
622,"Trump sues Facebook, Twitter and Google, claiming censorship",1
308,UPDATE 1-Google earmarks $740 mln for Australia to mend ties after exit threat,1
283,Moody's upgrades outlook on India to stable from negative; maintains Baa3 rating,0
353,Google must face shareholder lawsuit claiming it hid security risks,1
1141,Google not biased against conservatives: executive,1
436,India's Feb trade deficit widens to $20.88 billion - trade ministry,0
1808,"Microsoft, Google stand down in patent battles",1
1595,Regulators probe Google privacy breach: report,1
779,India's April-July fiscal deficit nears $44 billion,0
1255,"Google's Chrome browser to be available on Apple's iPad, iPhone",1
840,UPDATE 1-German antitrust watchdog investigates Google over data use,1
756,"U.S. senator presses Amazon, Google on Matter smart-home effort",1
745,"UPDATE 5-Google propels record Alphabet revenue, driving shares up 8%",1
