,News,Label
564,"Coal India warned government of coal shortage in February, documents show",0
393,EU to rule on Microsoft's $7.5 billion ZeniMax deal by March 5,1
1749,UPDATE 1-Dutch regulator sees potential privacy breach in Microsoft Windows,1
871,India's tax revenues likely to beat forecast on strong recovery -officials,0
71,Coal India plans to increase prices 'slowly',0
1209,Microsoft offers patent troll defense for cloud customers,1
827,Microsoft starts taking EU 'right to be forgotten' requests,1
721,"Microsoft cutting about 1,000 jobs: CNBC",1
325,"India ""disturbed"" by verdict against Myanmar's Aung San Suu Kyi",0
970,WHO says it 'cannot cut corners' in approving India's Covaxin shot,0
33,Microsoft invests $5 million in SoftBank-backed Oyo,1
1353,Work without limits: How teams are increasing their agility at Microsoft,1
1559,"Yahoo must roll out Microsoft's Bing in Taiwan, Hong Kong -ruling",1
1311,Microsoft raises reward for outside law firms that promote Black and Latino lawyers,1
923,Modi hails India's 10 million COVID vaccine doses in a single day,0
454,Microsoft says Bing inaccessible in China,1
327,White House says hackers exploiting Microsoft flaw are an active threat,1
1046,"India reports 35,499 new COVID-19 cases - govt statement",0
1106,At least 18 people killed in lightning strikes in India,0
1203,"Microsoft CFO to leave; profit, shares rise",1
91,UPDATE 8-Microsoft to gobble up Activision in $69 billion metaverse bet,1
1007,India bars Kotak from launching certain bond funds for six months,0
1231,Russia's Yandex teams up with Microsoft for Windows 10,1
330,"India's coal demand likely to grow in absolute terms, phasing out difficult",0
822,"Microsoft, Banco Votorantim partner on Brazil fintech investments",1
402,"PREVIEW-Microsoft earnings in spotlight for signs of business recovery, Xbox growth",1
186,UK aims to start trade talks with India this year,0
912,Microsoft to buy Minecraft maker Mojang for $2.5 billion,1
1660,Microsoft faces U.S. bribery probe over sales in Hungary - WSJ,1
573,Thales and Microsoft partner on cloud system for armed forces,1
1052,Ex-Microsoft manager and friend charged with insider trading,1
467,Pope Francis agrees to make first papal visit to India since 1999,0
580,India allows power plants to blend imported coal with local grade,0
134,Wistron partners with India's Optiemus in boost for electronics manufacturing,0
1482,China hands Microsoft administrative fine over Xbox venture,1
1175,"Microsoft revenue rises, profit falls as Nokia absorbed",1
927,"Boat carrying dozens sinks in India's northeast, one dead",0
831,Microsoft offers patent troll defense for cloud customers,1
825,"Microsoft, Banco Votorantim partner on Brazil fintech investments",1
332,"US STOCKS-Cyclicals drag S&P 500 lower; Microsoft, Alphabet keep Nasdaq flat",1
343,Microsoft leads $27 million early-stage funding in crypto startup Palm NFT Studio,1
252,"Microsoft targets 50,000 jobs with LinkedIn 're-skilling' effort",1
264,"India's daily COVID-19 infections rise by 38,079",0
380,Shopee dips toe in India e-commerce market with seller recruitment campaign,0
1466,"Microsoft to divest AnyVision stake, end face recognition investing",1
16,CORRECTED-Microsoft unveils fourth data center in India,1
1029,At least three killed in rail accident in India's West Bengal state,0
843,EU court cuts Microsoft antitrust fine slightly,1
936,Pope discusses ethics of artificial intelligence with Microsoft chief,1
892,Factbox: The faces behind Microsoft's re-organization,1
631,Modi hails India's 10 million COVID vaccine doses in a single day,0
147,Microsoft says new breach discovered in probe of suspected SolarWinds hackers,1
834,Exclusive: Microsoft has no plans to pursue Salesforce - sources,1
230,A Myanmar family flees to India with no plans to return soon,0
1152,UPDATE 2-Comcast buys Microsoft stake in MSNBC.com,1
225,India's top carmaker sees hydrogen as 'interesting alternative',0
1659,Microsoft expands cloud service in push for $10 bln Pentagon contract,1
726,"India signs deals to export 500,000 T wheat, as global prices surge",0
92,CORRECTED-Microsoft unveils fourth data center in India,0
969,India spends record $55.7 billion on gold imports in 2021 - govt source,0
910,Microsoft to buy display maker Perceptive Pixel,1
854,India's Sept gold imports surge as prices correct ahead of festivals,0
789,RPT-China regulator in anti-monopoly probe of Microsoft,1
668,Microsoft: 'appreciate' winning JEDI contract - statement,1
628,Games-India unlikely to field cricket teams in Hangzhou Asiad,0
538,"India says Omicron may be less severe due to vaccination, prior infections",0
878,Microsoft's mobile future hinges on success of Windows 10,1
1536,Microsoft supports commission calling for re-establishment of U.S. cyber czar,1
1081,EU's Almunia: no probe into Microsoft system for tablets,1
608,Microsoft sues Acacia over smartphone patents,1
1082,UPDATE 1-Microsoft slows dividend growth,1
1163,Modi's farm reform reversal to deter investment in India's agriculture,0
1068,India asks utilities to import coal amid short supply as demand spikes,0
299,"Microsoft and Google openly feuding amid hacks, competition inquiries",1
1004,"China says Microsoft Outlook hacking allegations ""groundless""",1
989,India's Future discloses new documents to bolster case against Amazon deal,0
1548,Microsoft unveils first Lumia smartphone without Nokia name,1
117,Amazon investigating kickback allegation at India unit - source,0
1758,Microsoft files antitrust suit against InterDigital in patent feud,1
763,"India, U.S. to expand farm trade, aim to resolve market access issues",0
532,BRIEF-Microsoft and Attunity announce strategic partnership,1
1824,BRIEF-Microsoft says Samsung owes $6.9 million in unpaid interest,1
949,Microsoft seeks regulation of facial recognition technology,1
364,"India reports 30,773 new COVID cases as it seeks to welcome back tourists",0
1621,"Adobe, Microsoft to take on Salesforce's marketing software, with LinkedIn as a weapon",1
619,"Factbox: A look at Walmart, Microsoft's past collaborations",1
780,Microsoft to buy display maker Perceptive Pixel,1
857,Games-India withdraw hockey teams from Commonwealth Games in Birmingham,0
1720,UPDATE 1-Microsoft says Windows 10 available July 29,1
1528,Microsoft boss Nadella promises cooperation in Chinese antitrust probe,1
1695,"Yahoo, Microsoft add termination clause in search deal: filing",1
1177,Microsoft reorganizes its financial results reporting,1
1698,Microsoft rushes to fix browser after attacks; no fix for XP users,1
1216,U.S. approves Microsoft purchase of Nokia's mobile business,1
673,Microsoft appoints activist investor Mason Morfit to board,1
689,India antitrust body accepts Google's confidentiality request - judge,0
1672,CORRECTED-BRIEF-Bill Gates sells 4.5 mln shares of Microsoft,1
420,Microsoft announces Surface tablet,1
161,UPDATE 2-Microsoft warns Azure customers of flaw that could have permitted hackers access to data,1
723,"Microsoft names Nadella as next CEO, Thompson chairman",1
1036,EU set to charge Microsoft over ruling breach,1
950,Microsoft profit below estimates after tablet charge,1
359,"India's monsoon gathers pace in September, set for delayed retreat",0
60,India Nov trade deficit at record $23.27 billion,0
872,Law firms bid to work on India's LIC IPO as government sweetens terms,0
791,Microsoft to reveal next-generation Xbox on May 21,1
1020,"With HoloLens, Microsoft aims to avoid Google's mistakes",1
1057,Microsoft says not part of broad government online monitoring,1
1455,UPDATE 3-Kaspersky files antitrust complaints against Microsoft in Europe,1
152,UPDATE 2-India govt says no decision on Air India sale after report cites Tata Sons as winner,0
562,Microsoft confirms Finnish site closeure and job cuts,1
1077,Microsoft to offer cloud services from Germany,1
