,News,Label
344,"India's Omicron cases mild, vaccine boosters not a priority -government",0
177,Nvidia partners with University of Florida to build AI supercomputer,1
397,India allows power plants to blend imported coal with local grade,0
443,India breaks its vaccination record in 'birthday gift' to Modi,0
304,Tata regains Air India control in privatisation victory for Modi,0
18,"Private banks, pharma weigh on India shares; Pfizer India unit jumps",0
567,India's economy likely rebounded in April-June amid pandemic risks,0
218,UPDATE 1-Ford India head quits after company says to stop making cars in India,0
80,"India reports 36,401 new COVID-19 infections",0
521,UN plans to drastically expand plastic waste management in India,0
873,India foreign minister says willing to make investments in Sri Lanka,0
357,Moody's upgrades outlook on India to stable from negative; maintains Baa3 rating,0
234,India's budget aims to boost spending to support growth,0
31,BRIEF-Nvidia Is Said To Quietly Prepare To Abandon Takeover Of Arm - Bloomberg News,1
36,SoftBank's $66 bln sale of Arm to Nvidia collapses - FT,1
131,US STOCKS-Dow bounces back on cyclical boost; Nvidia leads tech stocks lower,1
21,India's gender inequity in vaccinations narrows,0
780,India's parliament passes bill to repeal controversial farm laws,0
866,India launches drive to vaccinate children before a feared Omicron surge,0
225,India unveils higher spending for infrastructure in growth budget,0
427,"UK PM Johnson: India has made ""massive commitment"" on decarbonising energy",0
5,Nvidia preparing to abandon acquisition of Arm - Bloomberg News,1
678,Sri Lanka signs $1 billion credit line with India,0
323,India's top general laid to rest with full military honours,0
2,"Nvidia embraces the metaverse with new software, marketplace deals",1
53,India formalises acquisition of 56 Airbus C295 aircraft,0
840,India's Ather targets 1 million electric scooters a year as demand soars,0
36,India's trade minister to meet Chinese counterpart on Tuesday,0
650,UPDATE 1-India to study sanctions impact on trade settlement with Russia,0
865,EXPLAINER-India's wheat exports surge as world prices soar,0
191,Nvidia's 4th-qtr revenue meets lowered forecasts,1
473,India proposes new rules to push green energy use in industries,0
124,UK expected to investigate Nvidia's bid for ARM on national security grounds - The Sunday Times,1
212,"India reports 40,134 new coronavirus cases",0
158,Chip maker NVIDIA signs in-car entertainment system deal with Hyundai Motor,1
137,India's Paytm Payments Bank granted status upgrade,0
102,UK invokes national security to investigate Nvidia's ARM deal,1
142,UPDATE 1-U.S. FTC opens probe into Nvidia's acquisition of Arm -Bloomberg,1
146,"Netflix slashes India prices in battle with Disney, Amazon",0
434,COP26: India says after discussion proposes new wording for text,0
209,Nvidia quarterly revenue rises 4.4 pct,1
332,"India's daily COVID-19 infections rise by 38,949",0
147,Breakingviews - Nvidia has limits to supercharged growth,1
240,"India's monsoon rains forecast to be average in August, September",0
173,Britain assessing impact of sale of Arm to Nvidia - minister,1
562,India antitrust body accepts Google's confidentiality request - judge,0
454,India's Modi holds talks on criminal risks related to cryptocurrencies,0
179,Kerala's COVID-19 lessons for India and Modi's government,0
556,"India seeks to block most cryptocurrencies in new bill, government says",0
99,Nvidia to directly challenge Intel with Arm-based 'Grace' server chip,1
298,U.S. Vice President Harris welcomes India's resuming COVID exports,0
82,"India reports 41,965 new COVID-19 cases",0
508,India's top refiner plans thousands of electric car charging stations,0
383,India's Serum sees 'large' exports as output nearly quadruples,0
0,Chipmaker Nvidia investigates potential cyberattack,1
720,India's cabinet approves up to 20% FDI in behemoth insurer LIC -source,0
77,UPDATE 1-EU to investigate Nvidia's $54 bln ARM bid after remedies fall short - sources,1
